Частота (Гц), Амплитуда (дБ)
0.05, -41.25
0.10, -38.41
0.15, -34.18
0.20, -39.62
0.25, -26.79
0.30, -40.78
0.35, -38.04
0.40, -37.25
0.45, -33.64
0.50, -55.74
0.55, -38.77
0.60, -43.36
0.65, -39.71
0.70, -48.00
0.75, -32.53
0.80, -57.15
0.85, -48.48
0.90, -40.94
0.95, -40.84
1.00, -32.27
1.05, -42.22
1.10, -43.86
1.15, -41.57
1.20, -56.47
1.25, -38.01
1.30, -52.24
1.35, -42.46
1.40, -48.25
1.45, -41.20
1.50, -42.39
1.55, -54.45
1.60, -47.79
1.65, -48.72
1.70, -45.49
1.75, -51.50
1.80, -46.39
1.85, -50.95
1.90, -54.65
1.95, -50.13
2.00, -54.42
2.05, -47.53
2.10, -52.62
2.15, -55.48
2.20, -58.51
2.25, -58.59
2.30, -48.03
2.35, -46.53
2.40, -50.56
2.45, -61.42
2.50, -49.95
2.55, -46.27
2.60, -45.66
2.65, -47.78
2.70, -47.98
2.75, -61.14
2.80, -73.13
2.85, -49.58
2.90, -51.78
2.95, -50.71
3.00, -59.34
3.05, -57.56
3.10, -49.62
3.15, -45.07
3.20, -64.07
3.25, -56.97
3.30, -51.40
3.35, -52.74
3.40, -56.01
3.45, -45.38
3.50, -50.02
3.55, -48.02
3.60, -54.43
3.65, -59.57
3.70, -44.24
3.75, -47.28
3.80, -44.97
3.85, -46.57
3.90, -48.61
3.95, -55.97
4.00, -76.30
4.05, -47.08
4.10, -50.50
4.15, -51.72
4.20, -48.73
4.25, -57.81
4.30, -52.02
4.35, -50.09
4.40, -58.07
4.45, -47.98
4.50, -49.89
4.55, -48.20
4.60, -52.26
4.65, -53.47
4.70, -60.81
4.75, -52.09
4.80, -54.88
4.85, -63.82
4.90, -51.40
4.95, -58.21
5.00, -53.22
5.05, -48.48
5.10, -52.85
5.15, -53.57
5.20, -53.68
5.25, -58.89
5.30, -51.91
5.35, -53.76
5.40, -53.98
5.45, -46.35
5.50, -54.04
5.55, -58.09
5.60, -50.14
5.65, -53.26
5.70, -52.79
5.75, -54.02
5.80, -52.44
5.85, -53.33
5.90, -48.63
5.95, -61.19
6.00, -58.95
6.05, -52.23
6.10, -51.47
6.15, -50.16
6.20, -57.94
6.25, -52.69
6.30, -50.25
6.35, -51.03
6.40, -53.87
