Частота (Гц), Фаза (градусы)
0.05, 97.46
0.10, 17.53
0.15, -100.48
0.20, -153.30
0.25, 123.15
0.30, 72.88
0.35, 92.43
0.40, -64.77
0.45, 160.31
0.50, -52.30
0.55, 76.65
0.60, 93.20
0.65, -130.04
0.70, 159.48
0.75, -54.24
0.80, -10.60
0.85, 124.00
0.90, 20.14
0.95, 174.70
1.00, -129.47
1.05, -164.61
1.10, 145.75
1.15, -86.03
1.20, -154.61
1.25, 167.40
1.30, -72.94
1.35, -9.45
1.40, 91.21
1.45, -108.79
1.50, 110.40
1.55, -65.40
1.60, -88.32
1.65, -145.24
1.70, -146.94
1.75, 87.23
1.80, 41.63
1.85, 89.11
1.90, -120.72
1.95, -154.56
2.00, 64.73
2.05, 27.81
2.10, -27.29
2.15, -123.12
2.20, -89.15
2.25, -82.97
2.30, 120.33
2.35, 159.65
2.40, -21.28
2.45, -81.98
2.50, 112.30
2.55, 144.97
2.60, 66.01
2.65, 7.54
2.70, 69.85
2.75, -20.62
2.80, -70.25
2.85, 11.89
2.90, 155.03
2.95, 170.56
3.00, 56.26
3.05, -92.04
3.10, -165.93
3.15, 158.47
3.20, 130.65
3.25, 166.19
3.30, -79.99
3.35, 109.05
3.40, -178.14
3.45, -101.10
3.50, 151.47
3.55, 87.94
3.60, -152.79
3.65, 39.84
3.70, -58.28
3.75, 159.96
3.80, 171.14
3.85, 118.07
3.90, 106.59
3.95, -50.94
4.00, -18.13
4.05, -56.93
4.10, -152.87
4.15, 131.12
4.20, -8.84
4.25, 50.62
4.30, 39.54
4.35, 39.56
4.40, 57.39
4.45, -159.00
4.50, 127.80
4.55, -167.59
4.60, -150.11
4.65, 179.95
4.70, -75.30
4.75, -93.94
4.80, -121.47
4.85, -134.84
4.90, 57.15
4.95, -30.00
5.00, 64.84
5.05, 125.64
5.10, 95.59
5.15, 136.85
5.20, 128.24
5.25, 70.59
5.30, -77.52
5.35, -49.38
5.40, -85.05
5.45, -92.83
5.50, 154.35
5.55, 157.16
5.60, 106.60
5.65, 120.98
5.70, 59.47
5.75, 123.98
5.80, -59.04
5.85, -40.78
5.90, -75.36
5.95, 155.24
6.00, -156.56
6.05, 64.08
6.10, -166.57
6.15, -163.77
6.20, -4.05
6.25, 45.94
6.30, 27.89
6.35, 30.73
6.40, 52.45
6.45, -36.42
6.50, -78.39
6.55, -179.34
6.60, -145.38
6.65, -143.22
6.70, -76.63
6.75, 117.30
6.80, 120.95
6.85, 115.62
6.90, -60.64
6.95, -106.64
7.00, -176.06
7.05, -76.91
7.10, -27.70
7.15, -55.13
7.20, -13.29
7.25, 27.86
7.30, -134.91
7.35, 80.22
7.40, 116.83
7.45, 97.17
7.50, 77.84
7.55, -28.12
7.60, -75.71
7.65, -135.33
7.70, -163.76
7.75, -117.37
7.80, -170.84
7.85, -173.52
7.90, 78.04
7.95, 98.01
8.00, -60.92
8.05, 89.44
8.10, -159.77
8.15, 48.38
8.20, 80.19
8.25, -85.15
8.30, -109.58
8.35, -144.22
8.40, -105.53
8.45, 132.42
8.50, 84.48
8.55, 121.42
8.60, 155.31
8.65, -164.83
8.70, 169.27
8.75, 175.76
8.80, 128.71
8.85, 45.56
8.90, 58.10
8.95, 12.36
9.00, 17.72
9.05, 79.04
9.10, 159.17
9.15, 83.61
9.20, 0.87
9.25, -106.77
9.30, 47.37
9.35, -167.23
9.40, 23.09
9.45, -106.52
9.50, -125.61
9.55, -27.27
9.60, -168.00
9.65, -127.46
9.70, -61.68
9.75, 115.05
9.80, 82.58
9.85, -145.72
9.90, -121.01
9.95, 9.34
10.00, 150.04
10.05, 46.88
10.10, -80.04
10.15, -82.28
10.20, -161.47
10.25, -169.67
10.30, -119.50
10.35, -143.07
10.40, -135.98
10.45, -145.36
10.50, -102.74
10.55, -122.94
10.60, -142.07
10.65, -10.70
10.70, 133.19
10.75, -117.98
10.80, -86.81
10.85, -74.29
10.90, -57.17
10.95, -71.59
11.00, 94.91
11.05, 67.46
11.10, 112.50
11.15, 144.50
11.20, 147.04
11.25, -140.72
11.30, 133.16
11.35, -131.19
11.40, -74.82
11.45, 31.59
11.50, 147.32
11.55, -164.61
11.60, 14.83
11.65, -5.13
11.70, -153.81
11.75, 170.02
11.80, -173.77
11.85, 46.28
11.90, 101.56
11.95, 39.06
12.00, -143.51
12.05, 139.48
12.10, 153.19
12.15, -72.75
12.20, 134.37
12.25, 59.74
12.30, 169.16
12.35, 15.68
12.40, 23.62
12.45, -61.69
12.50, 124.13
12.55, -174.36
12.60, 72.36
12.65, 70.92
12.70, -157.70
12.75, -169.10
12.80, -124.99
12.85, -162.79
12.90, -170.51
12.95, 145.95
13.00, -31.30
13.05, 36.28
13.10, -20.94
13.15, 99.74
13.20, 153.56
13.25, -155.56
13.30, -10.21
13.35, -30.48
13.40, -10.19
13.45, 163.99
13.50, -169.69
13.55, 109.52
13.60, 146.16
13.65, -178.61
13.70, -163.04
13.75, -150.78
13.80, -82.23
13.85, -44.99
13.90, -75.62
13.95, 15.82
14.00, -175.39
14.05, -15.71
14.10, -74.58
14.15, -156.86
14.20, -64.84
