Time,Voltage
0.000,1.234
0.052,1.230
0.104,1.234
0.158,1.234
0.211,1.234
0.264,1.234
0.317,1.231
0.371,1.234
0.422,1.235
0.473,1.231
0.525,1.237
0.577,1.232
0.631,1.232
0.686,1.231
0.740,1.234
0.793,1.234
0.845,1.233
0.896,1.237
0.949,1.233
1.003,1.234
1.055,1.233
1.106,1.232
1.158,1.236
1.213,1.234
1.265,1.230
1.318,1.234
1.370,1.234
1.422,1.234
1.476,1.237
1.528,1.234
1.581,1.235
1.635,1.233
1.687,1.234
1.739,1.233
1.792,1.237
1.846,1.237
1.898,1.232
1.950,1.232
2.004,1.234
2.057,1.234
2.109,1.234
2.161,1.231
2.214,1.229
2.267,1.230
2.320,1.234
2.376,1.233
2.429,1.236
2.483,1.231
2.535,1.234
2.591,1.233
2.641,1.237
2.693,1.234
2.746,1.233
2.798,1.232
2.850,1.230
2.903,1.232
2.954,1.234
3.007,1.237
3.059,1.234
3.112,1.232
3.166,1.233
3.217,1.231
3.270,1.233
3.322,1.233
3.375,1.236
3.427,1.233
3.479,1.233
3.532,1.231
3.584,1.230
3.637,1.234
3.688,1.234
3.740,1.237
3.791,1.233
3.844,1.237
3.896,1.233
3.949,1.230
4.004,1.234
4.056,1.234
4.108,1.233
4.162,1.233
4.216,1.230
4.273,1.233
4.325,1.236
4.377,1.234
4.430,1.233
4.483,1.230
4.537,1.230
4.589,1.234
4.643,1.236
4.695,1.233
4.746,1.234
4.798,1.231
4.852,1.234
4.904,1.235
4.956,1.231
5.008,1.237
5.059,1.234
5.116,1.232
5.169,1.233
5.221,1.234
